Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/bantu-omaha-patrilocal.bttrees
Data File Name:                  ./data/bantu-omaha-patrilocal.btdata
Log File Name:                   ./output/bantu-omaha-patrilocal-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            960823146
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-omaha-patrilocal-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.521739,0.362319,0.000000,0.115942)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
91000	-69.065610	702	1	2	'0 Z 0 0 0 0 0 Z 	D	6.330036	0.000000	6.330036	6.330036	6.330036	6.330036	6.330036	0.000000	0.572557	0.337672	0.000000	0.089771	
92000	-65.262686	478	1	2	'0 Z 0 0 0 0 0 Z 	D	1.798302	0.000000	1.798302	1.798302	1.798302	1.798302	1.798302	0.000000	0.794143	0.193941	0.000000	0.011916	
93000	-67.161608	173	1	1	'0 Z 0 0 0 0 0 0 	D	2.853145	0.000000	2.853145	2.853145	2.853145	2.853145	2.853145	2.853145	0.653372	0.285868	0.000000	0.060761	
94000	-65.929862	9	1	2	'0 Z 0 0 0 0 0 Z 	D	3.769957	0.000000	3.769957	3.769957	3.769957	3.769957	3.769957	0.000000	0.625022	0.309445	0.000000	0.065533	
95000	-67.710182	324	1	5	'0 Z 0 0 Z Z Z Z 	D	1.618287	0.000000	1.618287	1.618287	0.000000	0.000000	0.000000	0.000000	0.846580	0.153420	0.000000	0.000000	
96000	-64.390539	708	1	2	'0 Z 0 0 0 0 0 Z 	D	3.487902	0.000000	3.487902	3.487902	3.487902	3.487902	3.487902	0.000000	0.704823	0.260246	0.000000	0.034931	
97000	-68.895395	260	1	2	'0 Z 0 0 0 0 0 Z 	D	1.495265	0.000000	1.495265	1.495265	1.495265	1.495265	1.495265	0.000000	0.770000	0.215984	0.000000	0.014016	
98000	-70.587315	880	1	5	'0 Z 0 0 Z Z Z Z 	D	1.589764	0.000000	1.589764	1.589764	0.000000	0.000000	0.000000	0.000000	0.844841	0.155159	0.000000	0.000000	
99000	-67.479359	502	1	4	'0 Z 0 0 Z 0 Z Z 	D	2.240874	0.000000	2.240874	2.240874	0.000000	2.240874	0.000000	0.000000	0.837670	0.162330	0.000000	0.000000	
100000	-65.897467	48	1	1	'0 Z 0 0 0 0 0 0 	D	3.742159	0.000000	3.742159	3.742159	3.742159	3.742159	3.742159	3.742159	0.615184	0.308987	0.000000	0.075829	
101000	-64.397890	987	1	2	'0 Z 0 0 0 0 0 Z 	D	3.454915	0.000000	3.454915	3.454915	3.454915	3.454915	3.454915	0.000000	0.699012	0.264385	0.000000	0.036604	
102000	-67.247584	934	1	2	'0 Z 0 0 0 0 0 Z 	D	5.081412	0.000000	5.081412	5.081412	5.081412	5.081412	5.081412	0.000000	0.628349	0.307999	0.000000	0.063653	
103000	-68.172740	61	1	3	'0 Z 0 0 Z Z 0 0 	D	2.276427	0.000000	2.276427	2.276427	0.000000	0.000000	2.276427	2.276427	0.780968	0.209187	0.000000	0.009845	
104000	-67.514725	750	1	2	'0 Z 0 0 0 0 0 Z 	D	5.219483	0.000000	5.219483	5.219483	5.219483	5.219483	5.219483	0.000000	0.600593	0.323110	0.000000	0.076296	
105000	-65.960347	531	2	3	'0 Z 0 1 1 Z 0 Z 	D	4.915179	0.000000	4.915179	2.974185	2.974185	0.000000	4.915179	0.000000	0.576190	0.341587	0.000000	0.082223	
106000	-67.482334	968	1	2	'0 Z 0 0 0 0 Z 0 	D	2.475516	0.000000	2.475516	2.475516	2.475516	2.475516	0.000000	2.475516	0.781403	0.209315	0.000000	0.009283	
107000	-67.809627	811	1	1	'0 Z 0 0 0 0 0 0 	D	2.901308	0.000000	2.901308	2.901308	2.901308	2.901308	2.901308	2.901308	0.667654	0.276597	0.000000	0.055749	
108000	-67.586399	394	1	4	'0 Z 0 0 0 Z Z Z 	D	2.004325	0.000000	2.004325	2.004325	2.004325	0.000000	0.000000	0.000000	0.834729	0.165271	0.000000	0.000000	
109000	-65.759511	112	1	2	'0 Z 0 0 0 0 0 Z 	D	2.562399	0.000000	2.562399	2.562399	2.562399	2.562399	2.562399	0.000000	0.710637	0.256725	0.000000	0.032638	
110000	-67.522865	75	1	2	'0 Z 0 0 0 0 Z 0 	D	2.534917	0.000000	2.534917	2.534917	2.534917	2.534917	0.000000	2.534917	0.779300	0.209384	0.000000	0.011316	
111000	-66.447017	965	1	4	'0 Z 0 0 0 Z Z Z 	D	1.812147	0.000000	1.812147	1.812147	1.812147	0.000000	0.000000	0.000000	0.829032	0.170968	0.000000	0.000000	
112000	-68.570135	483	1	4	'0 Z 0 0 Z Z Z 0 	D	2.556070	0.000000	2.556070	2.556070	0.000000	0.000000	0.000000	2.556070	0.832074	0.167926	0.000000	0.000000	
113000	-66.932662	500	1	2	'0 Z 0 0 0 0 0 Z 	D	4.133048	0.000000	4.133048	4.133048	4.133048	4.133048	4.133048	0.000000	0.602941	0.321665	0.000000	0.075394	
114000	-64.742494	691	1	2	'0 Z 0 0 0 0 0 Z 	D	2.830094	0.000000	2.830094	2.830094	2.830094	2.830094	2.830094	0.000000	0.689655	0.270351	0.000000	0.039993	
115000	-65.867176	775	1	2	'0 Z 0 0 0 0 0 Z 	D	2.376678	0.000000	2.376678	2.376678	2.376678	2.376678	2.376678	0.000000	0.760964	0.220195	0.000000	0.018842	
116000	-67.564120	344	1	2	'0 Z 0 0 0 0 0 Z 	D	4.902929	0.000000	4.902929	4.902929	4.902929	4.902929	4.902929	0.000000	0.614621	0.315562	0.000000	0.069817	
117000	-65.828070	641	1	2	'0 Z 0 0 0 0 0 Z 	D	4.172956	0.000000	4.172956	4.172956	4.172956	4.172956	4.172956	0.000000	0.635718	0.303628	0.000000	0.060654	
