Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.bttrees
Data File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.btdata
Log File Name:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-70recon-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1177518447
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-70recon-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.242424,0.121212,0.121212,0.515152)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	1
	ANC	2	L11_Pende G61_Sangu 
Scale Tree:                      0.101827
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - exp 10.00 
        q13 - exp 10.00 
        q21 - exp 10.00 
        q24 - exp 10.00 
        q31 - exp 10.00 
        q34 - exp 10.00 
        q42 - exp 10.00 
        q43 - exp 10.00 
Node reconstruction / fossilisation:
	MRCA RecNode ANC
Tree Information
     Trees:                      1000
     Taxa:                       66
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RecNode - P(0,0)	RecNode - P(0,1)	RecNode - P(1,0)	RecNode - P(1,1)	
9273000	-78.730193	189	4.064830	7.880039	12.229103	0.571942	5.231112	25.888717	1.612539	2.835143	0.258003	0.139149	0.115919	0.486929	0.195223	0.058625	0.140865	0.605288	
9274000	-77.225156	941	0.385832	0.799854	7.753017	16.664562	3.492671	17.920583	2.357700	2.142415	0.419084	0.118188	0.098958	0.363769	0.004701	0.107322	0.145260	0.742717	
9275000	-77.618973	394	6.329032	3.214572	10.090173	4.048478	5.792378	7.471095	3.368376	0.936569	0.234584	0.118164	0.121705	0.525548	0.026179	0.023573	0.105139	0.845108	
9276000	-78.339419	485	3.493117	10.869423	11.386299	13.365415	26.872792	32.586973	6.172809	3.528992	0.242596	0.121234	0.121226	0.514943	0.207122	0.116486	0.118143	0.558249	
9277000	-74.285370	60	2.805066	0.379919	8.450787	4.079728	0.576345	52.676420	3.720446	16.045600	0.206408	0.114880	0.129586	0.549125	0.001948	0.012343	0.197839	0.787870	
9278000	-73.795645	906	1.512919	0.076654	3.668470	9.000789	5.199436	18.179673	2.080882	6.431616	0.279056	0.120359	0.118383	0.482202	0.009800	0.102351	0.130500	0.757350	
9279000	-77.069239	961	3.037792	6.945427	16.509311	0.013597	11.232811	12.175917	2.043877	0.900979	0.243135	0.121564	0.121298	0.514003	0.072984	0.017323	0.104909	0.804784	
9280000	-78.325917	892	12.947677	0.918408	17.016363	3.237290	1.012959	6.949712	3.937110	0.689747	0.210936	0.105088	0.166832	0.517143	0.025880	0.010544	0.570340	0.393237	
9281000	-74.008454	260	0.644625	0.416568	10.788907	5.367456	0.101057	20.305649	1.605031	4.066809	0.420977	0.164137	0.075299	0.339587	0.001184	0.017392	0.191453	0.789972	
9282000	-75.926758	699	1.274805	0.916756	2.268135	9.219439	2.888755	14.803215	1.791016	4.212850	0.642117	0.078351	0.073182	0.206350	0.022381	0.158234	0.145952	0.673434	
9283000	-80.041366	809	1.398984	0.253682	6.661542	9.694951	17.758023	4.199415	5.060004	2.940675	0.147878	0.131346	0.089039	0.631737	0.006414	0.099170	0.017988	0.876428	
9284000	-77.074727	37	9.490510	3.838593	18.521799	29.529274	8.697901	19.518027	5.289113	5.050454	0.242878	0.121239	0.121204	0.514678	0.216845	0.119550	0.121637	0.541968	
9285000	-73.092225	728	3.819068	0.366954	11.231622	0.516023	1.232861	7.027362	2.205332	1.018603	0.150954	0.076213	0.150617	0.622216	0.002543	0.001102	0.285119	0.711236	
9286000	-75.526178	841	13.428989	1.816487	26.607358	4.515083	8.036036	9.502648	1.430469	4.095329	0.220112	0.111787	0.121509	0.546592	0.014392	0.016839	0.076925	0.891843	
9287000	-76.073178	449	0.586794	3.545076	5.080284	14.646212	12.085954	8.616915	4.643300	2.884860	0.226577	0.123351	0.118736	0.531335	0.012188	0.136087	0.049673	0.802052	
9288000	-74.931555	275	2.291899	0.246371	14.032448	11.450453	5.321740	1.513687	2.145295	1.146546	0.232030	0.121486	0.115376	0.531107	0.005688	0.060002	0.007739	0.926571	
9289000	-75.408038	321	6.185744	1.623516	9.121633	8.656126	5.317185	6.750140	3.589165	1.973916	0.238098	0.120731	0.121060	0.520112	0.051176	0.077354	0.089152	0.782318	
9290000	-77.501136	880	5.406789	2.705445	10.899304	23.873922	8.099039	6.777419	9.147280	3.533972	0.238956	0.121499	0.120358	0.519187	0.090010	0.130961	0.071106	0.707923	
9291000	-75.409879	494	10.803017	0.330482	11.482181	2.306680	4.154812	3.500414	1.912984	1.681217	0.219648	0.112507	0.119119	0.548726	0.001743	0.006293	0.022413	0.969550	
9292000	-76.735382	604	0.394340	7.953726	7.239744	8.106941	15.062624	0.171972	3.872466	0.527772	0.076709	0.135306	0.037638	0.750347	0.000063	0.046501	0.000046	0.953391	
9293000	-77.230723	711	11.387632	4.910768	34.853531	8.045029	10.129285	4.858507	1.664714	3.416652	0.225334	0.114895	0.116502	0.543269	0.036022	0.038479	0.042398	0.883100	
9294000	-77.893720	613	3.434014	2.510555	9.895780	7.426559	22.174355	12.186923	2.498569	1.764773	0.229792	0.120056	0.118707	0.531445	0.021147	0.058085	0.057975	0.862792	
9295000	-78.694708	188	1.063248	4.157698	22.556747	12.567475	7.515967	19.723181	4.073810	2.604390	0.234483	0.119212	0.122109	0.524196	0.081893	0.080359	0.136612	0.701136	
9296000	-77.907884	664	1.687246	0.749808	1.158559	17.377863	11.222672	3.835882	8.393333	2.347176	0.296872	0.105937	0.141295	0.455896	0.028025	0.187312	0.027306	0.757357	
9297000	-74.748858	879	1.058847	0.892663	10.364810	7.278474	3.826999	3.433746	1.718876	1.396940	0.219231	0.121103	0.124232	0.535434	0.001156	0.034971	0.023311	0.940562	
9298000	-78.092495	655	6.966538	21.879916	28.500446	4.253467	24.737622	3.565224	2.385775	0.448680	0.222859	0.113098	0.112808	0.551235	0.013062	0.015425	0.013808	0.957704	
9299000	-78.287550	276	0.805803	2.157786	4.580011	14.892885	15.071401	18.743818	5.716624	1.673408	0.265089	0.118974	0.123355	0.492582	0.021239	0.135354	0.091465	0.751942	
9300000	-77.760940	368	12.764190	2.882222	24.649527	8.912227	4.552976	28.597083	5.616559	5.223792	0.238164	0.119616	0.122341	0.519880	0.157475	0.088596	0.143997	0.609932	
9301000	-72.986920	474	1.470815	2.539822	10.676912	0.259113	4.041339	24.934435	1.899211	3.745122	0.254822	0.127628	0.118266	0.499283	0.046719	0.008281	0.168894	0.776105	
9302000	-75.445349	558	2.161867	2.298542	9.045084	7.338756	5.382611	7.894193	2.951248	1.794589	0.239769	0.121018	0.121526	0.517687	0.014113	0.048242	0.083132	0.854512	
9303000	-73.781194	536	4.554692	0.615120	17.274487	6.484339	2.274837	8.727710	2.396555	1.310857	0.256016	0.125823	0.118531	0.499630	0.010217	0.026825	0.183236	0.779722	
9304000	-76.070017	522	2.962455	0.554633	8.483985	2.566535	0.089249	16.743024	1.517418	4.776525	0.442883	0.192599	0.064066	0.300452	0.009810	0.018019	0.193154	0.779017	
9305000	-74.596068	42	3.717424	0.104644	7.824865	8.061417	5.778488	4.923410	1.796945	3.393108	0.234071	0.121126	0.120522	0.524282	0.007264	0.058359	0.034994	0.899383	
9306000	-75.515187	445	5.667886	1.153204	15.634725	0.738510	2.418156	13.419169	1.077265	5.456886	0.300837	0.151037	0.107292	0.440834	0.015013	0.006338	0.170206	0.808443	
9307000	-75.528181	839	2.624708	0.386531	13.135248	13.476369	2.979799	13.252879	3.309383	4.988351	0.253327	0.122826	0.119386	0.504461	0.010927	0.064976	0.152570	0.771527	
9308000	-74.464844	258	6.628688	1.870528	15.667014	3.535785	4.176331	10.317481	2.996977	1.713670	0.218997	0.111318	0.125809	0.543875	0.026523	0.021978	0.150006	0.801493	
9309000	-76.869545	76	1.739199	3.461850	7.754611	9.886771	8.088415	0.810505	5.582776	1.285286	0.196789	0.124431	0.096660	0.582119	0.006882	0.089273	0.003551	0.900294	
9310000	-76.145866	589	9.232657	2.626090	13.847686	6.165743	1.762660	7.974277	2.664373	1.427064	0.252932	0.125358	0.117685	0.504025	0.071071	0.047983	0.179833	0.701113	
9311000	-77.216296	922	1.086298	0.651091	3.003037	35.874795	7.814771	13.594603	14.599648	5.293252	0.230134	0.123379	0.121469	0.525017	0.009330	0.170743	0.083440	0.736487	
9312000	-77.189058	571	2.269840	4.073818	8.991954	7.193950	20.434585	2.598123	3.017299	2.164988	0.193540	0.118857	0.099592	0.588012	0.007195	0.054994	0.010310	0.927501	
9313000	-74.077187	585	7.999102	0.753488	25.903298	0.596665	1.910971	13.438214	2.672298	3.777429	0.158171	0.078599	0.147214	0.616016	0.002553	0.001026	0.209389	0.787032	
9314000	-77.083446	920	3.977245	2.380992	5.450531	30.724017	18.434352	8.729692	7.217547	4.615911	0.235282	0.122772	0.118923	0.523022	0.078820	0.157455	0.060514	0.703211	
9315000	-76.208422	431	1.239412	3.736364	15.325309	1.248886	5.927656	20.847277	3.904112	2.772369	0.231040	0.113265	0.124496	0.531198	0.068374	0.021445	0.161332	0.748849	
9316000	-77.397669	542	5.250558	3.089915	19.295065	12.267504	15.258610	7.238262	2.143754	1.046473	0.260202	0.124626	0.126195	0.488978	0.041406	0.073832	0.055200	0.829562	
9317000	-78.194057	558	0.161757	0.272709	12.083982	4.172922	0.069804	15.845742	2.201708	7.934443	0.261987	0.136695	0.111184	0.490134	0.000502	0.009473	0.212305	0.777721	
9318000	-75.163003	220	3.669109	0.239277	22.618127	9.652175	0.128213	7.747209	3.886171	1.184225	0.219989	0.116008	0.126891	0.537112	0.003954	0.012307	0.506827	0.476912	
9319000	-77.646191	324	4.541514	1.157018	22.343074	19.238349	6.018654	5.736660	2.022499	3.174996	0.235668	0.120386	0.120589	0.523357	0.043849	0.086725	0.068039	0.801387	
9320000	-79.490941	180	6.975327	8.351953	8.552247	17.706346	20.016443	0.793183	1.180608	4.810715	0.240856	0.121578	0.120064	0.517502	0.111666	0.143535	0.037919	0.706881	
9321000	-72.854495	419	0.448089	0.329297	5.948433	2.524028	5.050386	5.113151	1.975972	2.287406	0.123443	0.107381	0.128385	0.640791	0.000399	0.015475	0.050499	0.933628	
9322000	-75.861731	714	9.809500	1.025440	17.399638	12.103685	7.082698	3.815887	2.153107	1.401207	0.248457	0.122297	0.123778	0.505468	0.079596	0.085993	0.053460	0.780951	
9323000	-78.343364	574	7.489162	2.210268	7.443271	2.288849	6.365273	17.553342	1.367513	2.020781	0.268285	0.133194	0.117858	0.480664	0.020757	0.014153	0.135538	0.829553	
9324000	-75.550240	956	0.096952	2.660365	13.136597	0.444899	4.269218	2.504230	1.864670	1.302390	0.127288	0.058301	0.108095	0.706316	0.000826	0.000595	0.014618	0.983961	
9325000	-77.666629	796	5.547046	0.564362	19.369796	25.138026	8.387031	9.681309	3.091242	4.595258	0.237992	0.120967	0.120901	0.520140	0.034904	0.099300	0.076040	0.789756	
9326000	-76.744533	617	4.006564	0.084622	12.621856	2.878742	4.022619	13.278788	3.598948	2.333072	0.134732	0.084132	0.144749	0.636387	0.001693	0.009285	0.164216	0.824806	
9327000	-75.533028	591	0.907404	1.160344	0.886314	12.821257	7.626524	24.448823	2.183356	3.912661	0.573402	0.061645	0.100374	0.264579	0.032719	0.153401	0.149231	0.664648	
9328000	-76.837610	267	1.013553	0.226861	14.695202	8.815605	1.108559	20.187329	2.634572	10.671732	0.221342	0.123477	0.124441	0.530740	0.001060	0.026847	0.191585	0.780508	
9329000	-76.227589	855	3.411038	4.689002	12.625846	13.013380	8.783398	2.544734	4.301292	0.443805	0.220454	0.120540	0.111627	0.547380	0.020490	0.079888	0.016746	0.882876	
9330000	-80.955786	357	1.751120	27.544529	42.004259	13.126279	16.496376	24.340077	7.815203	5.409604	0.242424	0.121212	0.121212	0.515152	0.241943	0.120928	0.121219	0.515910	
9331000	-74.055940	911	4.039855	2.075885	13.141967	4.620678	4.427217	4.650342	3.012783	1.125592	0.209622	0.110891	0.120290	0.559197	0.008643	0.022255	0.051519	0.917582	
9332000	-78.503534	811	1.374409	8.028262	15.228886	11.765620	6.232978	4.618875	3.636654	0.687291	0.228921	0.119142	0.118062	0.533876	0.045928	0.079976	0.055264	0.818832	
9333000	-76.317325	190	2.070235	0.141241	6.022987	15.847837	13.178617	3.841922	1.648479	3.306535	0.212199	0.125952	0.110728	0.551121	0.005867	0.123760	0.010634	0.859739	
9334000	-75.570502	676	2.200539	1.164049	7.073492	6.919054	7.346073	3.429544	3.306600	1.151148	0.215150	0.120359	0.114777	0.549713	0.006066	0.056641	0.022116	0.915177	
9335000	-79.452976	410	3.767368	13.940203	5.254619	27.489347	15.503874	10.926688	12.629492	3.337620	0.243100	0.121076	0.121422	0.514402	0.178006	0.134086	0.100548	0.587361	
9336000	-73.920916	684	6.919056	0.455095	12.754397	1.558869	2.494141	13.901752	2.398445	2.722171	0.187928	0.097652	0.135726	0.578694	0.003143	0.004372	0.185169	0.807316	
9337000	-73.359894	875	0.719827	0.577617	3.865077	3.035092	2.257399	17.369411	2.622122	4.239692	0.272689	0.131786	0.114148	0.481376	0.024067	0.044595	0.184316	0.747022	
9338000	-73.716822	818	0.319627	0.362267	5.320950	29.966886	3.318063	4.465757	7.572274	1.309396	0.274928	0.116233	0.134683	0.474156	0.000829	0.148913	0.030434	0.819824	
9339000	-74.063624	711	4.904809	0.012302	22.907244	15.211425	1.870703	11.609040	3.808836	2.586107	0.234765	0.120111	0.122816	0.522307	0.010892	0.049943	0.197021	0.742143	
9340000	-76.333987	933	2.005926	1.148127	16.089270	10.495545	0.194408	22.979779	5.180707	8.775678	0.245406	0.122173	0.120141	0.512280	0.010994	0.035731	0.221550	0.731724	
9341000	-76.573658	293	5.837051	2.530949	6.882153	20.606475	11.119572	5.085108	7.545918	2.860824	0.240890	0.121498	0.120453	0.517160	0.074708	0.144375	0.040865	0.740053	
9342000	-74.864245	192	2.883620	1.228776	9.472256	1.086054	16.148179	6.347134	0.826046	2.619743	0.124945	0.072295	0.099984	0.702776	0.000992	0.002918	0.025762	0.970328	
9343000	-73.590325	710	2.140197	0.772146	10.894488	0.139410	1.055213	6.070620	1.983821	1.684333	0.207981	0.100616	0.122484	0.568919	0.021881	0.004498	0.139608	0.834013	
9344000	-77.710206	734	3.081610	7.150704	8.978339	8.944563	8.625578	8.287694	3.042188	2.947576	0.239669	0.120855	0.120799	0.518677	0.075495	0.087746	0.082919	0.753840	
9345000	-77.066208	281	12.392617	2.475341	23.161211	8.665934	1.287579	9.977259	3.874655	0.523197	0.247557	0.123164	0.119323	0.509956	0.149325	0.071032	0.295688	0.483956	
9346000	-74.359064	306	0.855632	1.084673	3.710589	6.087141	3.903581	16.460265	2.968822	2.296173	0.326525	0.123753	0.111039	0.438683	0.006569	0.053201	0.146485	0.793745	
9347000	-77.528851	964	4.552711	3.031373	14.637343	16.087927	2.107123	22.797998	4.196768	1.845739	0.258387	0.123764	0.117619	0.500230	0.161177	0.109992	0.139547	0.589284	
9348000	-76.247391	333	3.199185	2.675570	14.094215	8.798228	2.229095	14.238336	2.113169	4.799566	0.312330	0.139759	0.106121	0.441790	0.044228	0.055511	0.161664	0.738597	
9349000	-75.733184	149	2.494736	1.354782	4.075704	22.345224	9.965320	5.236153	2.238930	2.763158	0.251996	0.119269	0.124457	0.504278	0.031965	0.163329	0.036197	0.768508	
9350000	-77.532636	504	5.679752	18.727573	15.908315	5.904584	31.149748	8.175867	2.557663	2.183889	0.238959	0.119989	0.119934	0.521118	0.090081	0.062388	0.061974	0.785557	
9351000	-76.053025	960	0.214861	3.128414	6.297025	12.918393	5.787506	5.419646	6.297326	1.166633	0.214647	0.123160	0.119480	0.542713	0.006335	0.106538	0.042990	0.844137	
9352000	-76.636536	85	2.109230	4.194486	5.882690	14.001244	8.013113	15.478680	2.996964	3.768020	0.253834	0.120863	0.121408	0.503895	0.108444	0.123792	0.117691	0.650074	
9353000	-76.116326	464	3.589016	1.242819	6.359955	13.175913	2.291447	13.702662	6.915454	2.980754	0.250786	0.121356	0.119645	0.508214	0.054763	0.103642	0.169324	0.672271	
9354000	-77.190409	233	0.072024	1.527510	6.285461	6.483878	11.053429	0.442335	1.086785	0.720167	0.122989	0.146535	0.069802	0.660674	0.000887	0.099373	0.007779	0.891961	
9355000	-75.539734	937	2.076233	0.351422	2.091420	12.978580	8.831548	25.265156	4.509985	6.992658	0.276431	0.115438	0.120159	0.487972	0.033756	0.155038	0.120886	0.690319	
9356000	-77.518602	642	1.014227	4.264638	8.668530	7.377014	11.847228	13.270946	1.231526	4.495166	0.236249	0.120526	0.120851	0.522374	0.037134	0.068147	0.092733	0.801986	
9357000	-76.199667	984	2.402174	0.607297	16.246872	8.898488	1.045038	4.329912	3.362174	1.938277	0.221701	0.120236	0.108995	0.549068	0.005826	0.035635	0.085237	0.873301	
9358000	-77.461204	463	4.426612	2.531468	10.276699	2.156165	8.617078	14.351506	1.783129	2.501618	0.224777	0.112972	0.122629	0.539623	0.015220	0.011513	0.102022	0.871245	
9359000	-76.230388	82	5.738793	1.831288	9.139509	22.664351	7.296010	6.828776	3.184220	2.417912	0.257538	0.120107	0.125166	0.497189	0.141626	0.127953	0.095912	0.634510	
9360000	-75.498161	521	3.089451	0.464237	4.372536	22.858963	5.501704	1.639108	5.117984	1.148366	0.303090	0.107647	0.153918	0.435346	0.039111	0.160818	0.011517	0.788555	
9361000	-80.207251	785	5.947297	2.644845	18.901320	25.013243	4.516933	16.119630	11.753475	5.081612	0.241007	0.121076	0.121536	0.516382	0.136504	0.108862	0.147655	0.606979	
9362000	-75.224580	569	0.716647	0.918346	8.703529	6.575991	10.810868	23.569697	1.646603	4.009921	0.211817	0.121483	0.124047	0.542653	0.001295	0.021935	0.093213	0.883557	
9363000	-78.434604	36	12.147255	0.940673	41.314064	12.062995	15.824021	22.098789	1.324304	5.599378	0.229186	0.116752	0.121221	0.532841	0.031530	0.042285	0.104853	0.821332	
9364000	-74.618741	568	2.567746	0.182096	5.098316	25.514116	3.893404	10.611302	6.566926	2.246490	0.346615	0.109445	0.116170	0.427770	0.016067	0.136545	0.109128	0.738260	
9365000	-75.680102	193	2.325772	1.601420	6.392789	21.745442	11.779860	19.350351	3.602198	4.612766	0.242713	0.121270	0.121411	0.514606	0.024577	0.131374	0.092084	0.751965	
9366000	-76.446334	557	8.255933	2.243871	24.891566	12.748069	3.793292	9.004231	2.996499	2.076702	0.243084	0.121405	0.121162	0.514349	0.096002	0.076376	0.132205	0.695417	
9367000	-77.653781	865	11.754647	9.997210	33.979388	26.167927	10.993959	10.917891	7.946742	1.046937	0.242412	0.121210	0.121210	0.515168	0.221678	0.117423	0.116743	0.544155	
9368000	-76.009900	897	0.775864	1.824531	5.108179	14.258460	10.404101	6.116606	5.018394	2.377960	0.232048	0.122647	0.119524	0.525780	0.003496	0.123916	0.027667	0.844922	
9369000	-74.628847	222	2.221717	1.042298	4.928991	8.498889	7.533498	1.312940	2.372111	1.048663	0.256421	0.121258	0.127360	0.494961	0.010998	0.095511	0.007236	0.886255	
9370000	-75.253155	58	2.544401	4.070119	7.832698	1.362570	3.155434	10.542326	2.713195	2.256685	0.242481	0.120503	0.121499	0.515517	0.053842	0.011235	0.172146	0.762778	
9371000	-75.631276	550	0.568650	2.256441	12.930782	0.512590	6.204160	9.806772	1.785525	2.335603	0.221826	0.108181	0.124093	0.545899	0.014431	0.004300	0.103855	0.877415	
9372000	-75.898284	209	15.560208	1.759400	40.885404	0.367940	3.710947	11.392600	2.507983	3.092222	0.203655	0.100989	0.130734	0.564622	0.003122	0.000839	0.136842	0.859197	
9373000	-75.376456	145	1.880520	0.159631	0.456017	6.377693	9.404420	1.987894	1.456799	1.960581	0.248408	0.105570	0.131669	0.514353	0.021413	0.116422	0.018737	0.843427	
9374000	-78.764548	891	2.721455	0.621036	5.026710	2.524847	3.367241	3.338305	1.195245	3.822625	0.196238	0.115953	0.121709	0.566101	0.001508	0.013971	0.032058	0.952462	
9375000	-76.628808	798	3.146008	5.510419	8.559735	14.895313	10.759499	0.769006	5.600427	1.017488	0.213987	0.124472	0.103809	0.557732	0.013043	0.105874	0.003337	0.877746	
9376000	-78.475190	307	2.416797	4.075748	1.462275	14.719686	9.455492	29.770674	4.433648	9.718404	0.250112	0.119493	0.121066	0.509329	0.127148	0.146788	0.122551	0.603513	
9377000	-78.455108	910	5.370164	11.818218	14.455644	5.258088	18.831763	23.620969	4.757781	2.573777	0.242397	0.121195	0.121213	0.515195	0.216392	0.105348	0.121348	0.556912	
9378000	-77.205823	991	7.251008	7.892210	31.687380	0.703918	5.911536	22.518479	4.012632	1.389151	0.241896	0.120845	0.121365	0.515894	0.185132	0.082731	0.137282	0.594854	
9379000	-80.864310	780	10.235054	1.822017	12.130125	5.573454	1.187422	14.302757	5.168938	8.602398	0.235655	0.118698	0.123624	0.522024	0.071384	0.049585	0.195581	0.683450	
9380000	-75.215787	454	1.526894	0.942688	7.011025	6.422653	9.589153	11.332317	2.978644	2.132111	0.211216	0.121056	0.121006	0.546722	0.016714	0.072211	0.106516	0.804559	
9381000	-75.969171	776	3.419351	2.135855	1.881794	5.937646	9.193528	6.394468	1.016635	2.554930	0.247812	0.116747	0.124343	0.511098	0.028472	0.100098	0.047307	0.824123	
9382000	-73.623718	500	1.050999	0.722743	4.953480	15.517873	8.885974	6.830942	3.846790	1.805356	0.253194	0.120226	0.123945	0.502635	0.006810	0.133563	0.045812	0.813816	
9383000	-75.443384	979	0.561276	1.326734	13.074567	1.937050	1.348075	20.253929	2.427223	2.100371	0.233001	0.117208	0.123814	0.525977	0.007449	0.004984	0.207413	0.780153	
9384000	-74.165768	206	6.234000	0.229738	22.433857	4.811855	1.767995	21.274687	2.468658	2.732207	0.209836	0.109657	0.129801	0.550706	0.003180	0.010937	0.194535	0.791349	
9385000	-77.168818	253	3.258374	0.166155	43.384404	13.035052	2.746112	0.975434	1.910883	0.877108	0.250376	0.126185	0.095410	0.528029	0.003136	0.027560	0.003253	0.966051	
9386000	-73.952356	899	2.599983	0.028381	10.482128	3.862462	5.288739	9.035447	1.656110	2.880055	0.172086	0.107349	0.130268	0.590297	0.001119	0.015521	0.078914	0.904446	
9387000	-73.257568	371	0.749608	0.657134	6.217223	4.557485	0.980640	14.220870	3.199379	3.232844	0.358305	0.145165	0.090278	0.406252	0.004508	0.022776	0.212011	0.760705	
9388000	-76.485745	703	3.554115	1.674154	5.870974	7.908026	3.660498	44.359435	3.097691	12.059954	0.259162	0.123246	0.118015	0.499578	0.039529	0.070489	0.164792	0.725190	
9389000	-77.298501	723	3.128396	5.025942	8.613762	1.141904	6.676751	22.171075	2.943756	4.048749	0.236210	0.113882	0.123493	0.526415	0.091753	0.020765	0.154155	0.733327	
9390000	-77.783177	242	1.516842	10.303087	11.870948	23.725070	39.876856	1.791840	6.530476	1.018044	0.178723	0.128457	0.090246	0.602574	0.015463	0.122970	0.009388	0.852179	
9391000	-78.150745	96	7.156140	2.059042	11.399690	32.242047	5.413980	6.333845	13.027953	3.233113	0.242299	0.121238	0.121128	0.515335	0.174214	0.130060	0.096796	0.598930	
9392000	-75.438979	890	4.316850	0.479684	8.493929	5.050131	4.580784	5.521858	3.192698	1.209487	0.220056	0.118532	0.123350	0.538061	0.011027	0.038970	0.081366	0.868637	
9393000	-77.903885	936	4.804819	3.862827	22.156153	13.592083	8.603895	7.737477	3.854793	0.599310	0.237426	0.120169	0.120626	0.521779	0.066383	0.075686	0.083134	0.774797	
9394000	-73.831491	748	6.798040	0.841096	20.256678	2.562199	1.886797	8.217528	2.056054	1.333745	0.233284	0.117414	0.123809	0.525493	0.007930	0.007814	0.199082	0.785174	
9395000	-78.193962	454	12.214847	1.741265	11.830294	3.400257	0.849217	14.525908	2.978678	2.615730	0.245196	0.122574	0.119864	0.512365	0.063003	0.038304	0.191256	0.707437	
9396000	-75.814184	333	8.537168	4.321849	18.960423	9.748761	0.607118	20.505801	5.031236	2.696300	0.243795	0.121748	0.120612	0.513845	0.160622	0.088898	0.157104	0.593376	
9397000	-78.959845	922	3.266053	2.205643	2.541623	15.749943	20.254313	22.104930	5.013193	7.455777	0.239347	0.122007	0.120783	0.517863	0.079952	0.171122	0.091084	0.657843	
9398000	-77.229153	550	3.320653	2.032253	3.880584	5.012591	9.753517	7.017936	1.145938	1.940203	0.267374	0.122894	0.126596	0.483136	0.024310	0.063642	0.064887	0.847161	
9399000	-74.804260	303	1.586452	0.081708	0.898047	4.833016	11.113053	8.036454	0.972264	3.734496	0.167232	0.117989	0.113556	0.601223	0.004186	0.061492	0.049010	0.885312	
9400000	-77.922271	313	2.100155	3.566418	2.044251	17.431557	7.668671	10.245135	2.374795	5.858864	0.245581	0.120459	0.121581	0.512379	0.086793	0.166445	0.092826	0.653936	
9401000	-73.987105	540	1.887423	0.337731	7.856902	1.263565	3.298538	30.298108	1.991205	10.099478	0.175382	0.096520	0.137538	0.590560	0.008447	0.013317	0.184143	0.794092	
9402000	-77.404237	901	2.301568	1.785369	2.882190	10.937247	10.135135	0.711714	2.255479	1.260774	0.295500	0.109559	0.152177	0.442764	0.029476	0.154807	0.007543	0.808173	
9403000	-81.320023	892	4.737399	4.444227	8.728316	7.369938	9.038034	11.435761	4.799033	6.005110	0.235711	0.120014	0.121152	0.523123	0.130406	0.095621	0.116867	0.657106	
9404000	-74.137115	585	3.231075	2.157181	12.981301	4.379584	2.805464	11.817973	2.588274	1.673570	0.252164	0.125141	0.119054	0.503641	0.025314	0.023907	0.174526	0.776252	
9405000	-76.778497	95	3.756430	3.502795	22.097494	1.826337	0.151467	19.906888	3.550928	2.742698	0.239951	0.119733	0.122322	0.517994	0.072215	0.024327	0.219512	0.683947	
9406000	-73.755535	192	2.876464	0.201486	7.990673	11.744531	3.008731	21.163329	3.411591	2.551403	0.339917	0.127076	0.104863	0.428144	0.017611	0.088958	0.162743	0.730689	
9407000	-76.642929	773	5.722866	0.092509	22.156973	0.183749	3.391058	0.355183	0.981241	1.938357	0.049292	0.026496	0.052770	0.871442	0.000008	0.000044	0.000370	0.999578	
9408000	-72.991333	599	0.729369	0.011767	5.900432	9.115406	2.856569	13.329642	2.768839	3.999824	0.255931	0.129104	0.119423	0.495542	0.000506	0.062798	0.142029	0.794666	
9409000	-75.464649	46	1.706809	0.008514	5.597436	4.682021	2.882002	6.690286	3.039265	1.258828	0.194078	0.120465	0.129411	0.556046	0.000629	0.024809	0.129172	0.845390	
9410000	-75.440266	644	5.692938	2.893661	2.394751	17.462290	21.063976	0.447488	0.945415	2.447189	0.244364	0.120457	0.122747	0.512432	0.119858	0.167902	0.036512	0.675728	
9411000	-76.638553	494	0.512880	1.423758	11.655454	13.634009	2.429971	16.476925	2.357807	4.140496	0.347128	0.130736	0.102968	0.419168	0.009081	0.065783	0.157125	0.768012	
9412000	-78.540035	729	1.101076	4.737193	3.726740	12.198380	3.324653	6.121054	2.884718	2.594293	0.286931	0.117339	0.123753	0.471977	0.068878	0.142810	0.087545	0.700767	
9413000	-74.366816	233	4.180862	1.448121	9.180738	13.811734	3.424245	12.159209	3.886586	3.971857	0.253747	0.122029	0.119769	0.504454	0.072271	0.107350	0.140723	0.679655	
