Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.bttrees
Data File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.btdata
Log File Name:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-3ANCrecon-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2804047187
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-3ANCrecon-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.242424,0.121212,0.121212,0.515152)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	5
	ANC5	2	R11_Umbundu G61_Sangu 
	ANC4	2	JD53_Shi G61_Sangu 
	ANC3	2	L11_Pende G61_Sangu 
	ANC2	2	C83_Bushong G61_Sangu 
	ANC1	2	C41_Ngombe G61_Sangu 
Scale Tree:                      0.101827
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Node reconstruction / fossilisation:
	MRCA RecNodeUmbundu ANC5
	MRCA RecNodeShi ANC4
	MRCA RecNodePende ANC3
	MRCA RecNodeBushong ANC2
	MRCA RecNodeNgombe ANC1
Tree Information
     Trees:                      1000
     Taxa:                       66
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RecNodeUmbundu - P(0,0)	RecNodeUmbundu - P(0,1)	RecNodeUmbundu - P(1,0)	RecNodeUmbundu - P(1,1)	RecNodeShi - P(0,0)	RecNodeShi - P(0,1)	RecNodeShi - P(1,0)	RecNodeShi - P(1,1)	RecNodePende - P(0,0)	RecNodePende - P(0,1)	RecNodePende - P(1,0)	RecNodePende - P(1,1)	RecNodeBushong - P(0,0)	RecNodeBushong - P(0,1)	RecNodeBushong - P(1,0)	RecNodeBushong - P(1,1)	RecNodeNgombe - P(0,0)	RecNodeNgombe - P(0,1)	RecNodeNgombe - P(1,0)	RecNodeNgombe - P(1,1)	
8574000	-85.117986	861	15.458878	9.926955	5.424102	3.121636	0.243363	0.120944	0.121681	0.514012	0.151312	0.146943	0.075827	0.625919	0.162768	0.143746	0.081523	0.611963	0.168520	0.142173	0.084359	0.604948	0.218676	0.127958	0.109373	0.543993	0.242331	0.121236	0.121168	0.515265	
8575000	-83.341377	201	0.735587	2.388069	10.010816	7.896605	0.171967	0.085988	0.141336	0.600709	0.000262	0.000144	0.175867	0.823727	0.000597	0.000323	0.178547	0.820534	0.003370	0.001765	0.182480	0.812386	0.029851	0.015276	0.178481	0.776392	0.099707	0.049996	0.161589	0.688708	
8576000	-84.921039	518	1.201953	3.238691	12.005658	6.247644	0.178398	0.089196	0.139509	0.592896	0.001070	0.000550	0.185944	0.812435	0.003707	0.001883	0.186972	0.807437	0.006183	0.003128	0.186938	0.803751	0.027420	0.013710	0.182641	0.776229	0.101671	0.050797	0.161535	0.685998	
8577000	-85.986525	617	13.607178	10.373383	8.961468	6.037333	0.242391	0.121221	0.121196	0.515192	0.221247	0.126171	0.111604	0.540979	0.222225	0.125887	0.112103	0.539785	0.231879	0.123860	0.116285	0.527976	0.237496	0.122454	0.118910	0.521140	0.241756	0.121391	0.120890	0.515963	
8578000	-82.093737	253	1.162063	2.759532	0.094064	2.647105	0.034228	0.141768	0.022759	0.801245	0.000000	0.000866	0.000003	0.999131	0.000000	0.002069	0.000011	0.997920	0.000001	0.004901	0.000035	0.995063	0.000927	0.037291	0.002806	0.958975	0.006221	0.082409	0.008022	0.903349	
8579000	-84.367937	483	3.562783	2.884933	10.786696	8.582853	0.235886	0.117948	0.123075	0.523091	0.032754	0.017573	0.170791	0.778882	0.033999	0.017896	0.173194	0.774911	0.044252	0.023058	0.171799	0.760892	0.107279	0.054904	0.156595	0.681222	0.211625	0.105930	0.129873	0.552573	
8580000	-82.009591	831	0.236112	2.338668	8.691706	5.640386	0.064906	0.032463	0.171887	0.730744	0.000044	0.000027	0.161386	0.838543	0.000098	0.000056	0.171414	0.828432	0.005648	0.003012	0.179199	0.812141	0.006418	0.003311	0.183888	0.806383	0.028614	0.014381	0.181528	0.775477	
8581000	-81.203288	538	1.466415	2.316479	2.406018	3.081580	0.209811	0.114936	0.119379	0.555874	0.000296	0.002397	0.014300	0.983007	0.000179	0.001420	0.014623	0.983778	0.001401	0.006868	0.023236	0.968496	0.032155	0.047427	0.067992	0.852426	0.119730	0.092940	0.103622	0.683708	
8582000	-82.874129	739	1.337514	1.625344	0.534389	1.935632	0.171806	0.156739	0.076697	0.594758	0.000031	0.004161	0.000865	0.994943	0.000009	0.002138	0.000480	0.997372	0.000076	0.007244	0.001230	0.991449	0.008646	0.059269	0.015727	0.916358	0.075756	0.142113	0.046156	0.735975	
8583000	-84.377887	768	1.204947	3.087173	10.674397	6.641586	0.172364	0.086183	0.141228	0.600226	0.001221	0.000638	0.183401	0.814740	0.002006	0.001041	0.184222	0.812732	0.009212	0.004728	0.183886	0.802175	0.033361	0.016814	0.179757	0.770068	0.099505	0.049790	0.161941	0.688764	
8584000	-83.582555	411	2.325179	1.991238	8.666720	3.599480	0.263500	0.130893	0.115964	0.489642	0.009076	0.004456	0.190682	0.795785	0.013426	0.006631	0.188525	0.791418	0.031032	0.015467	0.182089	0.771413	0.153156	0.071161	0.156724	0.618958	0.249112	0.119869	0.123970	0.507049	
8585000	-83.125157	924	6.629563	4.715325	1.617852	2.425193	0.223286	0.126496	0.111809	0.538409	0.005291	0.131188	0.004078	0.859444	0.006017	0.128993	0.004721	0.860268	0.010723	0.139074	0.007643	0.842560	0.055318	0.147840	0.033599	0.763243	0.154915	0.140745	0.080750	0.623591	
8586000	-85.318000	119	18.057687	12.217760	5.044076	2.761593	0.244657	0.120574	0.122328	0.512441	0.146468	0.148382	0.073369	0.631782	0.131861	0.152650	0.066004	0.649485	0.152971	0.146718	0.076515	0.623796	0.224197	0.126404	0.112113	0.537286	0.254062	0.117886	0.127032	0.501020	
8587000	-81.639329	412	0.547858	2.487835	1.518221	1.933798	0.135670	0.065817	0.155852	0.642661	0.000029	0.000523	0.006460	0.992988	0.000028	0.000434	0.007656	0.991881	0.000183	0.001549	0.013718	0.984549	0.007124	0.011655	0.065830	0.915390	0.055654	0.035763	0.140605	0.767978	
8588000	-83.927155	154	0.756268	1.888171	9.293255	7.347089	0.199262	0.099642	0.133530	0.567565	0.001645	0.000960	0.167322	0.830072	0.000645	0.000358	0.174461	0.824536	0.013762	0.007342	0.176873	0.802023	0.040353	0.020775	0.174642	0.764230	0.126351	0.063500	0.153675	0.656474	
8589000	-82.922844	109	0.652091	1.868678	21.143864	13.136418	0.211763	0.105881	0.129973	0.552383	0.000092	0.000046	0.190392	0.809469	0.000209	0.000104	0.190369	0.809318	0.001844	0.000922	0.189922	0.807312	0.049195	0.024598	0.176416	0.749791	0.142705	0.071352	0.149703	0.636240	
8590000	-84.930886	165	2.868108	1.607251	9.474935	5.153693	0.274449	0.137214	0.112071	0.476266	0.025657	0.013839	0.171981	0.788523	0.017509	0.009357	0.175578	0.797556	0.065593	0.033786	0.167459	0.733162	0.194489	0.097909	0.134040	0.573561	0.290986	0.145365	0.107438	0.456211	
8591000	-85.262151	288	0.107225	1.390100	1.300667	3.730479	0.067396	0.049887	0.121057	0.761661	0.000000	0.000008	0.005568	0.994423	0.000002	0.000029	0.006406	0.993563	0.000001	0.000023	0.005116	0.994861	0.001275	0.005756	0.025221	0.967748	0.015414	0.024980	0.064947	0.894659	
8592000	-80.944540	429	0.849876	1.922747	4.138077	3.678145	0.222624	0.112681	0.125360	0.539334	0.000196	0.000444	0.049254	0.950106	0.000234	0.000553	0.047402	0.951811	0.002329	0.003572	0.070822	0.923277	0.037522	0.032834	0.110174	0.819470	0.142409	0.083068	0.129995	0.644527	
8593000	-84.785058	50	2.038571	1.284645	11.910417	8.294999	0.324388	0.162195	0.097793	0.415623	0.007875	0.004068	0.183269	0.804788	0.016328	0.008278	0.183703	0.791691	0.035451	0.017868	0.179154	0.767528	0.178316	0.089487	0.139051	0.593146	0.322909	0.161534	0.098162	0.417395	
8594000	-84.743138	989	1.487698	3.044841	4.481757	3.488509	0.187583	0.095523	0.134541	0.582354	0.003793	0.005660	0.072394	0.918153	0.002903	0.003599	0.086116	0.907382	0.003694	0.004459	0.088099	0.903748	0.031556	0.024363	0.124838	0.819242	0.099002	0.057079	0.143021	0.700898	
8595000	-82.680616	769	3.069961	2.867125	5.457414	3.266968	0.234426	0.116556	0.124187	0.524832	0.012294	0.014062	0.090806	0.882838	0.008647	0.009998	0.090633	0.890722	0.027554	0.025594	0.106440	0.840412	0.098407	0.060771	0.134550	0.706272	0.192167	0.097113	0.134211	0.576509	
8596000	-84.621485	990	3.323321	2.019807	12.494444	8.276554	0.252192	0.126096	0.118421	0.503291	0.059193	0.030219	0.170540	0.740048	0.027557	0.014015	0.180057	0.778372	0.050439	0.025484	0.174534	0.749544	0.157832	0.079228	0.144859	0.618081	0.246373	0.123230	0.120041	0.510355	
8597000	-84.347322	794	1.442097	2.717444	8.465745	4.756328	0.201355	0.100640	0.132993	0.565011	0.002306	0.001399	0.161830	0.834465	0.001611	0.000966	0.163635	0.833788	0.005700	0.003297	0.167473	0.823530	0.047697	0.024865	0.170762	0.756675	0.142736	0.071405	0.149624	0.636234	
8598000	-84.796038	314	9.607591	5.611098	8.493858	4.407916	0.242525	0.121187	0.121259	0.515029	0.221643	0.122137	0.115452	0.540769	0.224259	0.120845	0.117358	0.537538	0.231093	0.120724	0.119142	0.529042	0.240020	0.120672	0.121232	0.518076	0.243588	0.120822	0.121852	0.513738	
8599000	-82.301907	875	0.455284	1.484601	14.635091	8.406699	0.167480	0.083740	0.142625	0.606156	0.000107	0.000054	0.189014	0.810825	0.000413	0.000208	0.189611	0.809768	0.015136	0.007580	0.185903	0.791381	0.020980	0.010497	0.184376	0.784147	0.090180	0.045091	0.164708	0.700021	
8600000	-82.346118	125	1.687306	2.245530	10.607507	6.068821	0.218861	0.109429	0.127947	0.543763	0.001484	0.000804	0.177898	0.819813	0.008155	0.004337	0.178864	0.808643	0.037725	0.019202	0.177052	0.766020	0.075411	0.037921	0.168112	0.718556	0.162748	0.081390	0.143950	0.611911	
8601000	-86.892271	241	11.705082	4.626138	8.635846	3.401660	0.243446	0.120963	0.121680	0.513911	0.267662	0.122104	0.125110	0.485125	0.261855	0.120276	0.125986	0.491883	0.255207	0.120369	0.124660	0.499765	0.257604	0.118727	0.126825	0.496844	0.251816	0.119376	0.125023	0.503784	
8602000	-85.747729	338	16.847511	9.098157	6.460007	2.996008	0.245135	0.120438	0.122567	0.511860	0.200602	0.133020	0.100412	0.565966	0.189805	0.135994	0.095089	0.579111	0.203521	0.132223	0.101845	0.562411	0.246093	0.120153	0.123058	0.510696	0.252114	0.118444	0.126057	0.503385	
8603000	-81.916551	492	0.422803	1.523827	10.215974	5.957028	0.165993	0.082996	0.143050	0.607960	0.000278	0.000147	0.182608	0.816967	0.000435	0.000226	0.184883	0.814456	0.001471	0.000753	0.186536	0.811240	0.021270	0.010713	0.183295	0.784723	0.086280	0.043153	0.165783	0.704785	
8604000	-84.503694	597	3.990467	2.346608	3.270467	3.602212	0.237688	0.129386	0.112480	0.520445	0.009776	0.046203	0.022928	0.921094	0.021080	0.052879	0.041485	0.884556	0.032843	0.066697	0.049309	0.851151	0.112014	0.119535	0.076306	0.692145	0.198430	0.138975	0.095294	0.567301	
8605000	-81.330011	499	0.973141	2.474148	14.893294	9.588107	0.187814	0.093907	0.136815	0.581464	0.000556	0.000280	0.189066	0.810098	0.002249	0.001129	0.189212	0.807410	0.006412	0.003213	0.188313	0.802062	0.041384	0.020708	0.178534	0.759373	0.114754	0.057380	0.157682	0.670184	
8606000	-82.489060	966	0.293856	1.704472	7.314205	4.913407	0.122394	0.061238	0.155415	0.660953	0.000028	0.000020	0.142031	0.857921	0.000208	0.000134	0.153806	0.845852	0.005789	0.003393	0.165624	0.825193	0.015541	0.008358	0.175197	0.800904	0.056274	0.028683	0.171598	0.743445	
8607000	-84.836743	568	14.671794	8.612028	9.669597	5.945193	0.242416	0.121215	0.121208	0.515162	0.222505	0.126092	0.111985	0.539418	0.226457	0.124968	0.113972	0.534603	0.229576	0.124310	0.115325	0.530789	0.238591	0.122201	0.119400	0.519809	0.242104	0.121302	0.121054	0.515541	
8608000	-83.483553	894	0.877416	1.555666	2.173750	2.190052	0.220423	0.115633	0.121622	0.542322	0.000064	0.000628	0.011864	0.987444	0.000065	0.000683	0.011123	0.988129	0.000205	0.001702	0.013921	0.984172	0.012168	0.024089	0.054058	0.909685	0.115948	0.083387	0.112564	0.688101	
8609000	-85.745612	969	18.160625	8.077460	3.116599	2.414156	0.251248	0.118691	0.125624	0.504437	0.018859	0.185379	0.009412	0.786350	0.028008	0.182479	0.014004	0.775509	0.083974	0.166540	0.041971	0.707516	0.183898	0.137946	0.091941	0.586216	0.241934	0.121355	0.120964	0.515746	
8610000	-82.500430	67	0.412487	2.725152	0.446709	2.458513	0.036676	0.056231	0.064644	0.842449	0.000000	0.000085	0.000110	0.999806	0.000001	0.000234	0.000321	0.999445	0.000004	0.000599	0.000724	0.998673	0.000241	0.004714	0.005961	0.989084	0.007583	0.026308	0.031687	0.934422	
8611000	-85.446844	379	6.634987	3.460029	6.163502	5.747393	0.242496	0.121560	0.120880	0.515064	0.117999	0.117626	0.080689	0.683687	0.131829	0.111462	0.092431	0.664278	0.155738	0.113852	0.101250	0.629161	0.196537	0.127592	0.103689	0.572182	0.235700	0.125963	0.115170	0.523167	
8612000	-83.272868	884	1.042531	1.822591	16.272729	11.696144	0.234506	0.117253	0.123475	0.524767	0.000432	0.000217	0.189785	0.809566	0.001012	0.000507	0.189809	0.808672	0.023314	0.011668	0.183668	0.781349	0.071406	0.035710	0.170045	0.722839	0.175403	0.087703	0.140359	0.596535	
8613000	-84.457026	959	7.803939	4.974941	5.781423	2.584965	0.248790	0.119341	0.124449	0.507420	0.189328	0.114061	0.113810	0.582801	0.179410	0.117194	0.107349	0.596046	0.181659	0.116518	0.108777	0.593047	0.255705	0.108916	0.137513	0.497866	0.265789	0.113466	0.134109	0.486636	
8614000	-83.113166	509	1.450490	2.520015	4.952540	2.260118	0.218694	0.102115	0.136688	0.542503	0.004783	0.003314	0.143963	0.847940	0.001768	0.001584	0.115699	0.880948	0.009784	0.007492	0.130884	0.851841	0.064747	0.027894	0.194633	0.712726	0.169853	0.066983	0.175358	0.587806	
8615000	-80.206626	49	1.083660	2.078385	1.654593	2.154290	0.190387	0.102543	0.126758	0.580312	0.000008	0.000495	0.001995	0.997502	0.000318	0.003142	0.011731	0.984809	0.005050	0.016635	0.033738	0.944577	0.012443	0.025671	0.051892	0.909994	0.090305	0.070712	0.109588	0.729394	
8616000	-83.106653	74	1.084472	2.031748	18.805962	12.786294	0.212906	0.106453	0.129646	0.550996	0.001005	0.000503	0.190066	0.808425	0.001588	0.000794	0.189956	0.807661	0.003834	0.001918	0.189333	0.804915	0.041536	0.020770	0.178592	0.759102	0.134670	0.067335	0.151999	0.645996	
8617000	-81.652108	83	0.530899	1.968431	14.355229	8.659822	0.167158	0.083579	0.142717	0.606546	0.000114	0.000058	0.188484	0.811345	0.000413	0.000208	0.189306	0.810073	0.002261	0.001134	0.189344	0.807262	0.027152	0.013589	0.182572	0.776687	0.093098	0.046551	0.163870	0.696480	
8618000	-81.913091	499	1.187555	1.667039	23.516580	10.733847	0.262275	0.131138	0.115540	0.491047	0.000903	0.000452	0.190208	0.808437	0.003112	0.001556	0.189583	0.805748	0.010418	0.005209	0.187498	0.796875	0.089146	0.044573	0.165007	0.701275	0.213795	0.106897	0.129392	0.549915	
8619000	-82.818617	449	3.051714	3.268652	2.615780	3.318516	0.214742	0.118999	0.116677	0.549581	0.001314	0.013532	0.011127	0.974028	0.002729	0.016721	0.018471	0.962079	0.006916	0.028956	0.026350	0.937778	0.033653	0.060072	0.056037	0.850238	0.125636	0.102442	0.097332	0.674590	
8620000	-83.894033	16	2.487085	1.681667	1.916594	1.612395	0.320529	0.121430	0.132232	0.425809	0.000303	0.005827	0.006050	0.987819	0.000592	0.007432	0.009216	0.982760	0.003450	0.021897	0.017735	0.956919	0.102147	0.094791	0.090355	0.712707	0.332931	0.123371	0.131019	0.412678	
8621000	-82.846671	248	1.859198	2.302878	18.800244	8.292383	0.237651	0.118825	0.122576	0.520948	0.003395	0.001698	0.189428	0.805479	0.009830	0.004916	0.187637	0.797617	0.028875	0.014439	0.182214	0.774472	0.112181	0.056086	0.158435	0.673298	0.197376	0.098686	0.134085	0.569852	
8622000	-88.223120	361	11.908398	12.924931	8.092914	6.431796	0.242356	0.121231	0.121178	0.515234	0.193237	0.132589	0.098675	0.575499	0.204047	0.130338	0.103525	0.562090	0.219299	0.127096	0.110290	0.543315	0.233551	0.123555	0.116960	0.525935	0.240376	0.121776	0.120209	0.517639	
8623000	-82.070356	779	3.835294	2.390523	1.386893	2.963778	0.207295	0.135861	0.099962	0.556882	0.001124	0.040428	0.003126	0.955321	0.002720	0.041695	0.007279	0.948307	0.006133	0.063893	0.010384	0.919590	0.053219	0.129388	0.037728	0.779665	0.140064	0.152470	0.069001	0.638465	
8624000	-84.113848	343	2.488583	2.844045	13.049005	9.376352	0.226910	0.113455	0.125645	0.533991	0.013412	0.006831	0.183847	0.795911	0.014200	0.007204	0.184223	0.794373	0.030531	0.015389	0.180547	0.773534	0.094163	0.047232	0.163122	0.695483	0.174780	0.087427	0.140483	0.597310	
8625000	-84.090356	526	0.381007	1.511913	12.819055	8.933144	0.174422	0.087212	0.140641	0.597726	0.000059	0.000030	0.187749	0.812162	0.000076	0.000039	0.187971	0.811914	0.000664	0.000335	0.188840	0.810160	0.025247	0.012675	0.182649	0.779428	0.097117	0.048582	0.162661	0.691640	
8626000	-81.522092	574	0.576261	1.768471	3.349831	3.658055	0.174762	0.091518	0.134598	0.599122	0.000043	0.000175	0.028122	0.971659	0.000102	0.000323	0.035980	0.963595	0.000539	0.001265	0.047668	0.950528	0.012921	0.016147	0.083544	0.887388	0.082613	0.055987	0.127416	0.733984	
8627000	-82.913951	416	0.443399	1.583623	16.528075	7.019867	0.187493	0.093746	0.136907	0.581854	0.000348	0.000174	0.190724	0.808755	0.000219	0.000109	0.190521	0.809151	0.000391	0.000196	0.190425	0.808988	0.027025	0.013493	0.182977	0.776506	0.107279	0.053630	0.159850	0.679242	
8628000	-81.094882	81	2.056501	2.022458	0.935577	1.977186	0.218907	0.133706	0.104557	0.542830	0.000008	0.002639	0.000367	0.996985	0.000012	0.002515	0.000576	0.996897	0.001169	0.022114	0.006038	0.970680	0.023672	0.076580	0.031573	0.868175	0.127413	0.133674	0.074505	0.664408	
8629000	-80.969499	827	0.844496	1.934170	4.714937	2.596824	0.213164	0.103378	0.133429	0.550028	0.000062	0.000097	0.069333	0.930508	0.000341	0.000491	0.075429	0.923740	0.001331	0.001656	0.086131	0.910882	0.035378	0.022051	0.149660	0.792910	0.143176	0.066639	0.159434	0.630751	
8630000	-83.409781	507	2.408177	2.772684	14.462032	8.425820	0.231346	0.115673	0.124377	0.528604	0.007485	0.003785	0.186631	0.802099	0.007485	0.003785	0.186631	0.802099	0.023173	0.011656	0.182951	0.782220	0.106086	0.053103	0.160008	0.680803	0.188995	0.094503	0.136471	0.580032	
8631000	-85.489565	288	15.993377	10.897087	3.745937	2.330069	0.251014	0.118758	0.125507	0.504721	0.087890	0.164884	0.044094	0.703132	0.087258	0.165346	0.043690	0.703706	0.090733	0.164385	0.045420	0.699462	0.193036	0.135278	0.096552	0.575134	0.253455	0.118057	0.126731	0.501756	
8632000	-82.919294	301	0.287776	1.961390	6.800942	2.940256	0.136607	0.067554	0.152948	0.642891	0.000018	0.000012	0.149200	0.850770	0.000165	0.000105	0.155824	0.843906	0.006113	0.003274	0.178402	0.812210	0.024763	0.011281	0.197850	0.766106	0.076265	0.034977	0.181441	0.707316	
8633000	-81.462625	981	1.584892	1.807976	0.996778	2.071764	0.214055	0.134829	0.102474	0.548642	0.000012	0.001798	0.000807	0.997382	0.000046	0.002406	0.002227	0.995320	0.000470	0.010812	0.005031	0.983687	0.012179	0.052777	0.024714	0.910330	0.111685	0.126584	0.071632	0.690099	
8634000	-85.749101	800	7.077537	2.829948	19.275320	11.606503	0.246652	0.123326	0.120004	0.510018	0.275609	0.137917	0.111635	0.474839	0.233374	0.116768	0.123713	0.526145	0.235684	0.117867	0.123112	0.523337	0.275130	0.137574	0.111860	0.475437	0.259652	0.129826	0.116290	0.494232	
8635000	-80.635723	644	0.604178	1.898940	5.088494	4.017871	0.185388	0.093413	0.136514	0.584685	0.000029	0.000061	0.053260	0.946650	0.000354	0.000486	0.079020	0.920140	0.000492	0.000638	0.082956	0.915914	0.018232	0.014926	0.121479	0.845362	0.101957	0.056517	0.147333	0.694193	
8636000	-86.143920	451	7.933072	5.115772	21.625143	11.079114	0.242340	0.121170	0.121236	0.515254	0.207362	0.103706	0.131199	0.557733	0.214581	0.107299	0.129157	0.548962	0.220029	0.110019	0.127605	0.542347	0.232818	0.116409	0.123957	0.526817	0.240738	0.120369	0.121694	0.517199	
8637000	-84.574289	695	3.271679	2.995856	3.133747	3.948851	0.226319	0.119622	0.119077	0.534981	0.015756	0.038737	0.043179	0.902328	0.014441	0.034233	0.044979	0.906347	0.018400	0.040182	0.048125	0.893294	0.052147	0.070952	0.069788	0.807113	0.133796	0.105314	0.098938	0.661952	
8638000	-80.883328	646	0.652109	2.289160	0.699640	2.059023	0.130767	0.093729	0.109342	0.666163	0.000001	0.000264	0.000466	0.999268	0.000001	0.000253	0.000611	0.999134	0.000002	0.000406	0.000555	0.999037	0.003345	0.017250	0.021842	0.957564	0.047281	0.060494	0.075132	0.817093	
8639000	-84.733308	85	0.260728	1.954736	30.186179	15.875841	0.105651	0.052825	0.160290	0.681233	0.000029	0.000014	0.190467	0.809490	0.000059	0.000030	0.190459	0.809452	0.001237	0.000619	0.190123	0.808021	0.010992	0.005496	0.187336	0.796177	0.045302	0.022651	0.177533	0.754515	
8640000	-80.352707	877	1.595679	1.893977	3.709502	2.897249	0.241431	0.121863	0.120351	0.516355	0.000444	0.001587	0.031785	0.966184	0.001649	0.003898	0.047136	0.947317	0.006327	0.010542	0.064839	0.918292	0.056912	0.049321	0.106830	0.786937	0.179491	0.102379	0.122794	0.595337	
8641000	-84.617966	42	4.816176	3.394073	5.752008	5.397262	0.239368	0.120544	0.121217	0.518871	0.055081	0.064804	0.080007	0.800108	0.054437	0.054302	0.094025	0.797236	0.068240	0.061903	0.099861	0.769996	0.127859	0.092285	0.109299	0.670556	0.199688	0.113883	0.117387	0.569042	
8642000	-82.113142	16	1.216944	2.250706	10.466112	6.217695	0.217568	0.108784	0.128314	0.545334	0.001195	0.000643	0.179236	0.818926	0.002149	0.001133	0.181856	0.814861	0.008720	0.004511	0.182832	0.803938	0.059008	0.029832	0.172006	0.739154	0.149186	0.074657	0.147736	0.628421	
8643000	-85.968158	272	19.764878	9.370687	14.088305	8.303999	0.242424	0.121212	0.121212	0.515152	0.239321	0.122239	0.119523	0.518918	0.240922	0.121617	0.120486	0.516976	0.241776	0.121387	0.120898	0.515938	0.242163	0.121294	0.121074	0.515469	0.242415	0.121216	0.121207	0.515163	
8644000	-83.201456	156	1.980418	2.080307	15.442822	8.008457	0.241134	0.120567	0.121581	0.516718	0.004001	0.002014	0.188323	0.805663	0.009959	0.004994	0.187186	0.797861	0.016316	0.008174	0.185511	0.789999	0.086829	0.043418	0.165657	0.704096	0.200543	0.100267	0.133184	0.566006	
8645000	-85.500107	569	8.840849	3.716278	8.483492	7.048003	0.243198	0.121682	0.120908	0.514211	0.224281	0.138195	0.102209	0.535315	0.216486	0.130509	0.106626	0.546379	0.218512	0.128696	0.108686	0.544106	0.246012	0.133956	0.110163	0.509869	0.246073	0.124020	0.119211	0.510697	
8646000	-84.642029	78	4.180144	3.689851	16.622538	9.832617	0.238823	0.119411	0.122241	0.519525	0.056208	0.028215	0.173841	0.741736	0.049882	0.025018	0.175768	0.749331	0.077456	0.038796	0.168093	0.715655	0.134130	0.067094	0.152095	0.646682	0.203220	0.101611	0.132412	0.562758	
8647000	-83.154665	837	0.467079	1.577589	30.853067	20.093066	0.200215	0.100107	0.133272	0.566406	0.000501	0.000251	0.190332	0.808916	0.000205	0.000102	0.190417	0.809275	0.000689	0.000345	0.190279	0.808687	0.033261	0.016630	0.180973	0.769136	0.123019	0.061510	0.155328	0.660143	
8648000	-84.839484	138	3.784219	3.701535	21.245772	11.468432	0.235282	0.117641	0.123253	0.523824	0.062922	0.031474	0.172437	0.733167	0.065427	0.032717	0.171767	0.730089	0.079758	0.039881	0.167679	0.712682	0.124557	0.062280	0.154886	0.658277	0.200103	0.100052	0.133304	0.566541	
8649000	-82.533844	408	1.081915	1.950687	20.024155	11.593625	0.232295	0.116148	0.124106	0.527451	0.001159	0.000580	0.190051	0.808209	0.002443	0.001222	0.189731	0.806604	0.005443	0.002722	0.188896	0.802939	0.075124	0.037563	0.169009	0.718304	0.175270	0.087635	0.140399	0.596695	
8650000	-85.239735	296	10.469573	5.426336	6.958424	5.188351	0.241882	0.121394	0.120914	0.515810	0.168610	0.137768	0.087301	0.606321	0.174335	0.134123	0.091724	0.599818	0.193754	0.131790	0.099453	0.575003	0.220562	0.127080	0.110618	0.541740	0.238247	0.122580	0.118953	0.520220	
8651000	-83.752652	755	0.520330	2.934846	1.309777	2.780004	0.118526	0.074873	0.126635	0.679966	0.000002	0.000142	0.001572	0.998285	0.000002	0.000134	0.001960	0.997903	0.000029	0.000703	0.004773	0.994496	0.002833	0.010152	0.031378	0.955637	0.035540	0.038473	0.090768	0.835219	
8652000	-84.475619	216	0.725493	2.459193	7.555781	7.225574	0.167287	0.083748	0.142517	0.606448	0.000444	0.000350	0.129542	0.869665	0.000543	0.000362	0.149794	0.849301	0.003316	0.001977	0.163941	0.830767	0.031882	0.017612	0.166885	0.783621	0.098863	0.050505	0.159226	0.691406	
8653000	-82.937089	952	1.054404	1.707668	1.380976	1.634665	0.333385	0.120481	0.134126	0.412008	0.000038	0.001155	0.003808	0.994999	0.000002	0.000264	0.000826	0.998907	0.000232	0.003978	0.006791	0.988999	0.059971	0.063150	0.088122	0.788757	0.278336	0.110137	0.140149	0.471378	
8654000	-83.234946	427	1.448518	2.384894	10.982867	4.446907	0.218071	0.108976	0.128238	0.544715	0.002040	0.000989	0.194690	0.802282	0.002040	0.000989	0.194690	0.802282	0.006839	0.003360	0.191222	0.798579	0.057306	0.027294	0.181325	0.734075	0.158313	0.078140	0.146966	0.616581	
8655000	-81.534167	551	1.968700	2.597410	5.031569	3.586272	0.217167	0.109971	0.126852	0.546010	0.001644	0.002733	0.065801	0.929823	0.004939	0.006545	0.080602	0.907914	0.016917	0.016349	0.104915	0.861820	0.061274	0.043616	0.126958	0.768153	0.161000	0.087582	0.133611	0.617806	
8656000	-83.326628	659	1.061158	1.894163	17.528901	9.935221	0.234190	0.117095	0.123565	0.525150	0.000480	0.000241	0.189861	0.809419	0.000521	0.000261	0.189953	0.809266	0.027024	0.013522	0.182647	0.776806	0.065833	0.032921	0.171646	0.729600	0.173494	0.086747	0.140906	0.598853	
