Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-iroquois-uni.linealdescent.bttrees
Data File Name:                  ./data/bantu-iroquois-uni.linealdescent.btdata
Log File Name:                   ./output/bantu-iroquois-uni.linealdescent-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4077911377
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-iroquois-uni.linealdescent-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.072464,0.289855,0.086957,0.550725)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
121000	-77.705687	755	1	0	'0 0 0 0 	1.772263	1.772263	1.772263	1.772263	0.046543	0.338560	0.049124	0.565774	
122000	-76.344825	605	1	0	'0 0 0 0 	1.277076	1.277076	1.277076	1.277076	0.050034	0.412072	0.038311	0.499582	
123000	-75.549992	439	2	0	'0 0 0 1 	3.222847	3.222847	3.222847	1.487629	0.051335	0.288750	0.066618	0.593297	
124000	-76.699977	311	2	0	'0 0 0 1 	4.186832	4.186832	4.186832	1.763924	0.063271	0.288344	0.078921	0.569464	
125000	-75.210860	99	1	0	'0 0 0 0 	1.209309	1.209309	1.209309	1.209309	0.053707	0.420743	0.039209	0.486340	
126000	-76.863262	175	1	0	'0 0 0 0 	1.042838	1.042838	1.042838	1.042838	0.046480	0.492507	0.025933	0.435080	
127000	-76.042174	989	1	0	'0 0 0 0 	1.351414	1.351414	1.351414	1.351414	0.041357	0.392370	0.035344	0.530928	
128000	-76.480467	301	1	0	'0 0 0 0 	1.983784	1.983784	1.983784	1.983784	0.049747	0.334011	0.052983	0.563259	
129000	-75.969287	563	1	0	'0 0 0 0 	1.449081	1.449081	1.449081	1.449081	0.049404	0.386554	0.042129	0.521913	
130000	-75.973517	685	1	0	'0 0 0 0 	1.404264	1.404264	1.404264	1.404264	0.043741	0.390257	0.037418	0.528583	
131000	-75.550391	243	1	0	'0 0 0 0 	1.367570	1.367570	1.367570	1.367570	0.049151	0.377522	0.043561	0.529766	
132000	-76.528437	809	1	0	'0 0 0 0 	1.214019	1.214019	1.214019	1.214019	0.036471	0.513143	0.019349	0.431036	
133000	-76.606595	161	1	0	'0 0 0 0 	1.719205	1.719205	1.719205	1.719205	0.045543	0.323226	0.051583	0.579648	
134000	-75.451143	123	1	0	'0 0 0 0 	1.276450	1.276450	1.276450	1.276450	0.038963	0.359113	0.038601	0.563323	
135000	-72.914946	330	1	0	'0 0 0 0 	1.196646	1.196646	1.196646	1.196646	0.047004	0.468183	0.028908	0.455904	
136000	-78.142529	746	1	0	'0 0 0 0 	2.425810	2.425810	2.425810	2.425810	0.041710	0.292783	0.054936	0.610571	
137000	-73.652010	136	2	0	'1 1 0 1 	1.852160	1.852160	5.198158	1.852160	0.073950	0.311105	0.080269	0.534676	
138000	-75.648678	859	1	0	'0 0 0 0 	1.204560	1.204560	1.204560	1.204560	0.043765	0.450599	0.029224	0.476412	
139000	-76.673696	924	1	0	'0 0 0 0 	1.901038	1.901038	1.901038	1.901038	0.047868	0.313431	0.056187	0.582514	
140000	-78.365442	612	2	0	'0 0 0 1 	26.987319	26.987319	26.987319	3.921187	0.072464	0.289855	0.086957	0.550725	
141000	-76.243176	219	1	0	'0 0 0 0 	1.720810	1.720810	1.720810	1.720810	0.038726	0.345167	0.040768	0.575339	
142000	-76.074048	306	1	0	'0 0 0 0 	1.594618	1.594618	1.594618	1.594618	0.041638	0.319983	0.048481	0.589899	
143000	-75.094317	516	1	0	'0 0 0 0 	0.915695	0.915695	0.915695	0.915695	0.046342	0.526287	0.022515	0.404855	
144000	-75.997047	109	1	0	'0 0 0 0 	1.852813	1.852813	1.852813	1.852813	0.045751	0.339435	0.048232	0.566582	
145000	-78.272112	664	1	0	'0 0 0 0 	1.910363	1.910363	1.910363	1.910363	0.046122	0.323664	0.052035	0.578178	
146000	-76.261422	99	1	0	'0 0 0 0 	0.982031	0.982031	0.982031	0.982031	0.058556	0.492514	0.031355	0.417575	
147000	-76.667746	197	1	0	'0 0 0 0 	1.873327	1.873327	1.873327	1.873327	0.042357	0.318676	0.049485	0.589482	
148000	-76.923570	147	1	0	'0 0 0 0 	1.651911	1.651911	1.651911	1.651911	0.034886	0.341060	0.037869	0.586186	
149000	-74.406136	830	1	0	'0 0 0 0 	1.359527	1.359527	1.359527	1.359527	0.046987	0.454843	0.030512	0.467658	
150000	-76.755658	371	1	0	'0 0 0 0 	2.313336	2.313336	2.313336	2.313336	0.044607	0.324121	0.050483	0.580790	
151000	-75.296129	425	1	0	'0 0 0 0 	1.464915	1.464915	1.464915	1.464915	0.043699	0.375784	0.039719	0.540798	
152000	-75.697416	160	1	0	'0 0 0 0 	1.534090	1.534090	1.534090	1.534090	0.039241	0.342627	0.041696	0.576435	
153000	-74.601639	534	1	0	'0 0 0 0 	1.369726	1.369726	1.369726	1.369726	0.042746	0.408198	0.034061	0.514995	
154000	-76.583838	271	1	0	'0 0 0 0 	2.133852	2.133852	2.133852	2.133852	0.045551	0.310327	0.054648	0.589474	
155000	-75.988197	219	1	0	'0 0 0 0 	1.238199	1.238199	1.238199	1.238199	0.041239	0.446336	0.028253	0.484172	
156000	-76.352046	547	1	0	'0 0 0 0 	1.224312	1.224312	1.224312	1.224312	0.041566	0.374925	0.038183	0.545326	
157000	-74.869174	591	1	0	'0 0 0 0 	1.424901	1.424901	1.424901	1.424901	0.029355	0.398105	0.025477	0.547062	
158000	-79.468217	236	1	0	'0 0 0 0 	2.622494	2.622494	2.622494	2.622494	0.059216	0.288575	0.074829	0.577380	
159000	-75.941063	215	1	0	'0 0 0 0 	1.224611	1.224611	1.224611	1.224611	0.042399	0.391765	0.036202	0.529634	
160000	-76.341682	883	1	0	'0 0 0 0 	1.657964	1.657964	1.657964	1.657964	0.039636	0.324838	0.045472	0.590053	
161000	-76.837606	306	1	0	'0 0 0 0 	1.980852	1.980852	1.980852	1.980852	0.044960	0.298986	0.056903	0.599150	
162000	-77.256333	779	1	0	'0 0 0 0 	1.283009	1.283009	1.283009	1.283009	0.043381	0.439687	0.030322	0.486610	
163000	-74.630747	408	1	0	'0 0 0 0 	1.572326	1.572326	1.572326	1.572326	0.042761	0.370798	0.039813	0.546628	
164000	-76.617625	445	1	0	'0 0 0 0 	1.646016	1.646016	1.646016	1.646016	0.041306	0.370653	0.038667	0.549374	
165000	-77.771779	607	1	0	'0 0 0 0 	0.832415	0.832415	0.832415	0.832415	0.043285	0.541266	0.019974	0.395475	
166000	-76.477296	485	1	0	'0 0 0 0 	1.364701	1.364701	1.364701	1.364701	0.043027	0.416709	0.033076	0.507188	
167000	-77.936295	13	1	0	'0 0 0 0 	1.717991	1.717991	1.717991	1.717991	0.042489	0.338907	0.045388	0.573216	
168000	-73.502553	330	1	0	'0 0 0 0 	0.949669	0.949669	0.949669	0.949669	0.053151	0.576458	0.020382	0.350009	
169000	-76.653387	524	1	0	'0 0 0 0 	1.455825	1.455825	1.455825	1.455825	0.041337	0.410845	0.032732	0.515087	
170000	-78.169373	163	2	0	'1 1 1 0 	24.015720	24.015720	24.015720	5.877492	0.072464	0.289855	0.086957	0.550725	
171000	-77.620486	68	1	0	'0 0 0 0 	1.678699	1.678699	1.678699	1.678699	0.046745	0.348424	0.047246	0.557586	
172000	-76.261135	867	1	0	'0 0 0 0 	1.489145	1.489145	1.489145	1.489145	0.032215	0.374486	0.030573	0.562726	
