Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-eskimo-inheritancetobothsex.restricted.bttrees
Data File Name:                  ./data/austronesian-eskimo-inheritancetobothsex.restricted.btdata
Log File Name:                   ./output/austronesian-eskimo-inheritancetobothsex.restricted-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2741302988
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-eskimo-inheritancetobothsex.restricted-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.640000,0.160000,0.060000,0.140000)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000074
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       50
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
68000	-49.815312	251	1	3	'0 Z 0 0 Z Z 0 0 	D	3.790246	0.000000	3.790246	3.790246	0.000000	0.000000	3.790246	3.790246	0.914047	0.080403	0.000000	0.005550	
69000	-53.386601	158	2	4	'Z Z 0 1 Z 1 0 Z 	D	0.000000	0.000000	22.468843	7.670152	0.000000	7.670152	22.468843	0.000000	0.000000	0.000000	1.000000	0.000000	
70000	-50.294355	983	1	4	'Z Z 0 Z Z 0 0 0 	D	0.000000	0.000000	8.932701	0.000000	0.000000	8.932701	8.932701	8.932701	0.000000	0.000000	0.406620	0.593380	
71000	-49.634617	703	2	4	'Z Z 1 Z Z 1 0 0 	D	0.000000	0.000000	8.815729	0.000000	0.000000	8.815729	7.991614	7.991614	0.000000	0.000000	0.326679	0.673321	
72000	-50.301397	718	1	4	'Z Z 0 Z Z 0 0 0 	D	0.000000	0.000000	10.108396	0.000000	0.000000	10.108396	10.108396	10.108396	0.000000	0.000000	0.436002	0.563998	
73000	-49.374670	683	2	3	'Z Z 1 Z 1 1 0 0 	D	0.000000	0.000000	7.647174	0.000000	7.647174	7.647174	3.177581	3.177581	0.000000	0.000000	0.173361	0.826639	
74000	-51.399652	694	1	4	'Z Z 0 Z Z 0 0 0 	D	0.000000	0.000000	13.922706	0.000000	0.000000	13.922706	13.922706	13.922706	0.000000	0.000000	0.411769	0.588231	
75000	-50.472064	94	1	4	'Z Z 0 Z Z 0 0 0 	D	0.000000	0.000000	11.976572	0.000000	0.000000	11.976572	11.976572	11.976572	0.000000	0.000000	0.470047	0.529953	
76000	-51.208499	523	1	4	'Z Z 0 Z Z 0 0 0 	D	0.000000	0.000000	7.942481	0.000000	0.000000	7.942481	7.942481	7.942481	0.000000	0.000000	0.334460	0.665540	
77000	-50.821368	273	1	4	'Z Z 0 Z Z 0 0 0 	D	0.000000	0.000000	14.203778	0.000000	0.000000	14.203778	14.203778	14.203778	0.000000	0.000000	0.401857	0.598143	
78000	-51.376743	573	1	4	'Z Z 0 Z Z 0 0 0 	D	0.000000	0.000000	12.903550	0.000000	0.000000	12.903550	12.903550	12.903550	0.000000	0.000000	0.470889	0.529111	
79000	-52.308715	366	1	3	'Z Z 0 Z 0 0 0 0 	D	0.000000	0.000000	6.928649	0.000000	6.928649	6.928649	6.928649	6.928649	0.000000	0.000000	0.207981	0.792019	
80000	-50.407539	970	1	4	'Z Z 0 Z Z 0 0 0 	D	0.000000	0.000000	11.384576	0.000000	0.000000	11.384576	11.384576	11.384576	0.000000	0.000000	0.410748	0.589252	
81000	-51.634081	371	1	3	'Z Z 0 Z 0 0 0 0 	D	0.000000	0.000000	5.046830	0.000000	5.046830	5.046830	5.046830	5.046830	0.000000	0.000000	0.128333	0.871667	
82000	-50.521178	374	1	3	'0 Z 0 0 Z Z 0 0 	D	2.413853	0.000000	2.413853	2.413853	0.000000	0.000000	2.413853	2.413853	0.855494	0.136193	0.000000	0.008314	
