Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-iroquois-polygyny.bttrees
Data File Name:                  ./data/austronesian-iroquois-polygyny.btdata
Log File Name:                   ./output/austronesian-iroquois-polygyny-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            137067443
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-iroquois-polygyny-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.262500,0.587500,0.025000,0.125000)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000086
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       80
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
92000	-72.209222	608	1	4	'0 Z 0 0 Z Z Z 0 	D	1.161918	0.000000	1.161918	1.161918	0.000000	0.000000	0.000000	1.161918	0.643684	0.356316	0.000000	0.000000	
93000	-71.173542	637	1	1	'0 Z 0 0 0 0 0 0 	D	1.507781	0.000000	1.507781	1.507781	1.507781	1.507781	1.507781	1.507781	0.473132	0.525002	0.000425	0.001441	
94000	-74.513840	808	1	2	'Z 0 0 0 0 0 0 Z 	D	0.000000	1.374242	1.374242	1.374242	1.374242	1.374242	1.374242	0.000000	0.000304	0.997150	0.000095	0.002450	
95000	-71.861137	676	1	4	'0 Z 0 0 Z Z Z 0 	D	0.926906	0.000000	0.926906	0.926906	0.000000	0.000000	0.000000	0.926906	0.601686	0.398314	0.000000	0.000000	
96000	-70.970601	673	1	2	'0 Z 0 0 Z 0 0 0 	D	1.289421	0.000000	1.289421	1.289421	0.000000	1.289421	1.289421	1.289421	0.565952	0.433241	0.000001	0.000806	
97000	-71.464648	223	1	3	'Z Z 0 0 Z 0 0 0 	D	0.000000	0.000000	0.910104	0.910104	0.000000	0.910104	0.910104	0.910104	0.000000	0.999931	0.000000	0.000069	
98000	-71.528704	133	1	2	'0 Z 0 0 0 0 Z 0 	D	0.985483	0.000000	0.985483	0.985483	0.985483	0.985483	0.000000	0.985483	0.615043	0.384523	0.000429	0.000005	
99000	-71.872462	775	1	3	'Z Z 0 0 0 0 Z 0 	D	0.000000	0.000000	0.965283	0.965283	0.965283	0.965283	0.000000	0.965283	0.000000	1.000000	0.000000	0.000000	
100000	-71.025201	249	1	3	'Z Z 0 0 Z 0 0 0 	D	0.000000	0.000000	1.258490	1.258490	0.000000	1.258490	1.258490	1.258490	0.000000	0.999241	0.000000	0.000759	
101000	-69.749356	743	1	3	'Z Z 0 0 Z 0 0 0 	D	0.000000	0.000000	0.974272	0.974272	0.000000	0.974272	0.974272	0.974272	0.000000	0.999559	0.000000	0.000441	
102000	-68.157525	726	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	1.030737	1.030737	1.030737	1.030737	1.030737	1.030737	0.000000	0.995503	0.000084	0.004414	
103000	-71.049839	896	1	3	'0 Z 0 0 Z Z 0 0 	D	1.006683	0.000000	1.006683	1.006683	0.000000	0.000000	1.006683	1.006683	0.630939	0.369039	0.000000	0.000022	
104000	-74.659451	920	1	3	'Z Z 0 0 Z 0 0 0 	D	0.000000	0.000000	0.840003	0.840003	0.000000	0.840003	0.840003	0.840003	0.000000	0.999707	0.000000	0.000293	
105000	-72.837754	467	1	1	'0 Z 0 0 0 0 0 0 	D	1.856269	0.000000	1.856269	1.856269	1.856269	1.856269	1.856269	1.856269	0.459110	0.535116	0.001274	0.004500	
106000	-72.936012	797	1	2	'0 Z 0 0 Z 0 0 0 	D	1.828604	0.000000	1.828604	1.828604	0.000000	1.828604	1.828604	1.828604	0.494608	0.500994	0.000017	0.004381	
107000	-71.274925	314	1	1	'0 Z 0 0 0 0 0 0 	D	1.169632	0.000000	1.169632	1.169632	1.169632	1.169632	1.169632	1.169632	0.529656	0.466204	0.001269	0.002871	
108000	-72.236483	674	1	3	'Z Z 0 0 0 0 Z 0 	D	0.000000	0.000000	0.900253	0.900253	0.900253	0.900253	0.000000	0.900253	0.000000	1.000000	0.000000	0.000000	
109000	-71.257761	956	1	1	'0 Z 0 0 0 0 0 0 	D	1.321881	0.000000	1.321881	1.321881	1.321881	1.321881	1.321881	1.321881	0.524204	0.473051	0.000788	0.001957	
