Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/uto-hawaiian-bi.localresidence.bttrees
Data File Name:                  ./data/uto-hawaiian-bi.localresidence.btdata
Log File Name:                   ./output/uto-hawaiian-bi.localresidence-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2638545886
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/uto-hawaiian-bi.localresidence-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.318182,0.000000,0.590909,0.090909)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.121603
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
103000	-21.177276	648	1	3	'0 0 Z Z 0 0 Z 0 	D	16.545858	16.545858	0.000000	0.000000	16.545858	16.545858	0.000000	16.545858	0.035190	0.000000	0.964806	0.000005	
104000	-23.272082	858	1	2	'0 0 Z Z 0 0 0 0 	D	9.535307	9.535307	0.000000	0.000000	9.535307	9.535307	9.535307	9.535307	0.000041	0.000000	0.999958	0.000002	
105000	-20.513981	204	1	3	'Z Z 0 0 0 0 Z 0 	D	0.000000	0.000000	22.278172	22.278172	22.278172	22.278172	0.000000	22.278172	0.000000	0.000000	0.999848	0.000152	
106000	-20.956855	533	1	4	'Z 0 0 Z 0 0 Z Z 	D	0.000000	8.881586	8.881586	0.000000	8.881586	8.881586	0.000000	0.000000	0.022574	0.000000	0.977426	0.000000	
107000	-19.735680	397	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	25.498492	25.498492	25.498492	25.498492	25.498492	25.498492	25.498492	0.049788	0.000000	0.950053	0.000160	
108000	-18.755661	14	1	4	'Z 0 Z Z 0 0 0 Z 	D	0.000000	35.304025	0.000000	0.000000	35.304025	35.304025	35.304025	0.000000	0.091149	0.000000	0.908851	0.000000	
109000	-18.737873	919	1	3	'0 Z 0 0 0 0 Z Z 	D	39.021873	0.000000	39.021873	39.021873	39.021873	39.021873	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
110000	-18.803560	433	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	31.225246	0.000000	31.225246	31.225246	31.225246	31.225246	31.225246	0.082546	0.000000	0.917242	0.000213	
111000	-19.688235	61	1	2	'0 Z 0 0 0 0 Z 0 	D	20.548005	0.000000	20.548005	20.548005	20.548005	20.548005	0.000000	20.548005	0.000000	0.000000	0.999992	0.000008	
112000	-20.473318	453	1	2	'0 0 0 Z 0 0 Z 0 	D	49.582714	49.582714	49.582714	0.000000	49.582714	49.582714	0.000000	49.582714	0.057741	0.000000	0.942000	0.000259	
113000	-20.421156	194	1	4	'Z 0 Z Z 0 0 0 Z 	D	0.000000	20.253000	0.000000	0.000000	20.253000	20.253000	20.253000	0.000000	0.024148	0.000000	0.975852	0.000000	
114000	-19.686741	972	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	21.785130	21.785130	21.785130	21.785130	21.785130	21.785130	0.000000	0.000000	0.999787	0.000213	
115000	-19.817229	186	1	1	'0 0 Z 0 0 0 0 0 	D	24.875902	24.875902	0.000000	24.875902	24.875902	24.875902	24.875902	24.875902	0.052901	0.000000	0.947038	0.000062	
116000	-21.305797	498	1	3	'Z 0 0 0 0 0 Z Z 	D	0.000000	14.668041	14.668041	14.668041	14.668041	14.668041	0.000000	0.000000	0.013388	0.000000	0.986612	0.000000	
